--local-search-none --eas --m 24 --rho 0.97 --rounds-reinitialize 8693 --q 0.61 --k 0.29 --Q 2.34 --sigma 54 --end
9508105;9549292;9517432.00;16737.45
8640;11978;10227.00;1122.67
16;16;16.00;0.00
2724;2744;2730.00;9.66
6922;6964;6931.00;14.34
5252;5442;5312.00;62.71
31410;32996;32202.00;600.72
504408;514492;510175.00;3286.57
2560610;2660234;2614268.00;30049.49
49520;50354;49967.00;259.73
--local-search-none --ras --m 70 --rho 0.38 --rounds-reinitialize 2128 --q 0.28 --k 0.64 --Q 3.2 --w 13 --end
9508105;9586656;9527396.00;28934.45
8640;11494;10093.00;996.02
16;16;16.00;0.00
2724;2744;2734.00;10.54
6922;6972;6942.00;18.40
5280;5358;5318.00;27.65
31410;32958;32123.00;582.08
501058;516242;509739.00;4681.04
2603248;2680092;2642542.00;24688.77
50058;51168;50503.00;323.45
--local-search-idsia --eas --m 24 --rho 0.97 --rounds-reinitialize 8693 --q 0.61 --k 0.29 --Q 2.34 --sigma 54 --end
9507884;9508853;9507980.00;306.43
7990;9290;8532.00;430.10
16;16;16.00;0.00
2724;2724;2724.00;0.00
6922;6948;6927.00;10.96
5166;5252;5201.00;27.44
31410;31410;31410.00;0.00
493662;499670;495976.00;2334.31
2511090;2541096;2529051.00;9590.59
48990;49152;49067.00;53.97
--local-search-idsia --ras --m 70 --rho 0.38 --rounds-reinitialize 2128 --q 0.28 --k 0.64 --Q 3.2 --w 13 --end
9507884;9507884;9507884.00;0.00
7990;8626;8371.00;328.43
16;16;16.00;0.00
2724;2724;2724.00;0.00
6922;6922;6922.00;0.00
5166;5228;5199.00;18.36
31410;31410;31410.00;0.00
491812;500790;496344.00;2780.92
2513606;2544234;2532861.00;9326.62
48892;49056;48939.00;45.09
--local-search-idsia --eas --m 85 --rho 0.32 --rounds-reinitialize 8672 --q 0.42 --k 2.09 --Q 3.6 --sigma 54 --end
9507884;9508853;9508174.00;468.07
7990;9290;8854.00;378.98
16;16;16.00;0.00
2724;2724;2724.00;0.00
6922;6922;6922.00;0.00
5170;5272;5215.00;29.89
31410;31410;31410.00;0.00
493662;501326;498228.00;2286.86
2475022;2504592;2484877.00;10462.45
48896;49028;48952.00;44.47
--local-search-idsia --ras --m 88 --rho 0.83 --rounds-reinitialize 8474 --q 0.67 --k 1.01 --Q 1.68 --w 15 --end
9507884;9507884;9507884.00;0.00
7990;9290;8512.00;495.72
16;16;16.00;0.00
2724;2724;2724.00;0.00
6922;6948;6929.00;12.59
5166;5254;5207.00;28.00
31410;31410;31410.00;0.00
493662;502304;497675.00;2986.83
2470994;2530968;2488667.00;20092.04
48874;48996;48924.00;43.72
